date,symbol,avg_sentiment,news_count
2023-10-16,AVAX,0.28985,4
2023-10-23,AVAX,0.0,2
2023-10-30,AVAX,0.33326666666666666,3
2023-11-06,AVAX,0.0,2
2023-11-13,AVAX,0.5849666666666666,15
2023-11-20,AVAX,0.40781428571428574,7
2023-11-27,AVAX,0.46104,5
2023-12-04,AVAX,0.26114000000000004,5
2023-12-11,AVAX,0.4063642857142857,14
2023-12-18,AVAX,0.42362,5
2023-12-25,AVAX,0.45677,10
2024-01-01,AVAX,0.7824333333333334,6
2024-01-08,AVAX,0.5976571428571429,7
2024-01-15,AVAX,0.4510666666666667,3
2024-01-22,AVAX,0.4245923076923077,13
2024-01-29,AVAX,0.28793636363636366,11
2024-02-05,AVAX,0.4177666666666667,9
2024-02-12,AVAX,0.69323,10
2024-02-19,AVAX,0.177,10
2024-02-26,AVAX,0.4482888888888889,9
2024-03-04,AVAX,0.7341599999999999,5
2024-03-11,AVAX,0.5186,15
2024-03-18,AVAX,0.11137499999999997,8
2024-03-25,AVAX,0.7238857142857142,7
2024-04-01,AVAX,0.75484,5
2024-04-08,AVAX,0.5423333333333333,3
2024-04-15,AVAX,0.0796,4
2024-04-22,AVAX,0.395,3
2024-04-29,AVAX,0.27995000000000003,14
2024-05-06,AVAX,0.758325,4
2024-05-13,AVAX,0.47332,5
2024-05-20,AVAX,0.8242666666666666,3
2024-05-27,AVAX,0.74588,5
2024-06-03,AVAX,0.6650222222222222,9
2024-06-10,AVAX,0.45591428571428577,7
2024-06-17,AVAX,0.3032666666666667,12
2024-06-24,AVAX,0.48496000000000006,10
2024-07-01,AVAX,0.44670000000000004,5
2024-07-08,AVAX,0.5698,7
2024-07-15,AVAX,0.7833333333333333,6
2024-07-22,AVAX,0.5772333333333334,3
2024-07-29,AVAX,0.33314000000000005,5
2024-08-05,AVAX,0.0,2
2024-08-12,AVAX,0.54586,5
2024-08-19,AVAX,0.2896,14
2024-08-26,AVAX,0.05652222222222224,9
2024-09-02,AVAX,0.0,2
2024-09-09,AVAX,0.9720666666666666,3
2024-09-16,AVAX,0.52752,5
2024-09-23,AVAX,0.7040833333333333,6
2024-09-30,AVAX,0.46116,5
2024-10-07,AVAX,0.697875,8
2024-10-14,AVAX,0.21976666666666667,6
2024-10-21,AVAX,0.765725,4
2024-10-28,AVAX,0.0,1
2024-11-04,AVAX,0.22525555555555554,9
2024-11-11,AVAX,0.0,1
2024-11-18,AVAX,0.8932666666666668,3
2024-11-25,AVAX,0.25127142857142853,7
2024-12-02,AVAX,0.7837181818181819,11
2024-12-09,AVAX,0.5573,11
2024-12-16,AVAX,0.9849125,8
2024-12-23,AVAX,0.73438,10
