date,symbol,sentiment_index,sentiment_ema_7d,sentiment_change,news_count
2024-04-15,ADA,0.53754605155183,0.53754605155183,-0.002331249730062712,19
2024-04-22,ADA,0.5162959321505549,0.5162959321505549,-0.02125011940127508,22
2024-04-29,ADA,0.48624274572044396,0.48624274572044396,-0.030053186430110956,20
2024-05-06,ADA,0.4796766965763552,0.4796766965763552,-0.006566049144088759,16
2024-05-13,ADA,0.44928535726108415,0.44928535726108415,-0.03039133931527105,15
2024-05-20,ADA,0.46803881212465676,0.46803881212465676,0.018753454863572605,19
2024-05-27,ADA,0.4788285496997254,0.4788285496997254,0.010789737575068625,8
2024-06-03,ADA,0.44011426833120887,0.44011426833120887,-0.03871428136851651,14
2024-06-10,ADA,0.4552132328467853,0.4552132328467853,0.015098964515576407,11
2024-06-17,ADA,0.41640791961076157,0.41640791961076157,-0.03880531323602371,15
